timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
73220498,5.2722654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
73720468,5.264209,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
74220874,5.2867675,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
74720471,5.2738767,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
75220474,5.309326,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
75730469,5.2625976,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
76220469,5.2819333,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
76720468,5.2770996,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
77220503,5.2851562,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
77720780,5.2867675,3.338672,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
78220563,5.2674317,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
78720469,5.269043,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
79720612,5.2722654,3.3290038,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
80220469,5.2754884,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
80720837,5.280322,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
81220938,5.309326,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
81720469,5.2851562,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
82230506,5.2722654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
82720471,5.2819333,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
83220475,5.2738767,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
83721319,5.2625976,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
84220706,5.3109374,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
84720469,5.2996583,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
85220495,5.293213,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
85720469,5.2674317,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
86220494,5.2964354,3.3370605,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
86730470,5.278711,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
87721005,5.2609863,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
88220471,5.270654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
88720486,5.2851562,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
89220725,5.2738767,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
89730473,5.2964354,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
90231127,5.2754884,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
90720470,5.3109374,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
91220490,5.2674317,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
91720594,5.28999,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
92220583,5.2819333,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
92720476,5.306103,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
93220499,5.294824,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
93720765,5.2883787,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
94232051,5.269043,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
94721105,5.2722654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
95220480,5.270654,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
95720669,5.2625976,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
96220528,5.26582,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
96731071,5.2738767,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
97232138,5.280322,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
97721632,5.2867675,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
98221061,5.270654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
98720469,5.26582,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
