timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
48711815,48711815,41,0,0,0,1475,1489,1203,1426,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
49716883,49716883,41,0,0,0,1451,1495,1187,1433,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
50217563,50217563,41,0,0,0,1496,1450,1194,1435,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
50714460,50714460,41,0,0,0,1498,1461,1203,1449,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
51223149,51223149,41,0,0,0,1448,1478,1203,1463,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
51721682,51721682,41,0,0,0,1489,1435,1181,1477,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
52208147,52208147,41,0,0,0,1495,1435,1184,1482,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
52723532,52723532,41,0,0,0,1495,1425,1203,1483,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
53225966,53225966,41,0,0,0,1496,1440,1204,1483,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
53724674,53724674,41,0,0,0,1496,1454,1184,1496,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
54223910,54223910,41,0,0,0,1418,1480,1192,1496,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
54718663,54718663,41,0,0,0,1477,1440,1208,1493,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
55221376,55221376,41,0,0,0,1471,1434,1206,1496,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
55713751,55713751,41,0,0,0,1465,1437,1192,1497,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
56211242,56211242,41,0,0,0,1498,1425,1186,1497,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
56712159,56712159,41,0,0,0,1499,1418,1182,1495,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
57228812,57228812,41,0,0,0,1545,1398,1205,1496,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
57713792,57713792,41,0,0,0,1567,1495,1193,1510,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
58210516,58210516,41,0,0,0,1511,1497,1195,1548,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
58719580,58719580,41,0,0,0,1496,1498,1182,1591,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
59220645,59220645,41,0,0,0,1495,1482,1232,1579,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
59714015,59714015,41,0,0,0,1495,1433,1174,1562,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
60217498,60217498,41,0,0,0,1520,1427,1191,1530,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
60717250,60717250,41,0,0,0,1526,1444,1182,1511,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
61218716,61218716,41,0,0,0,1541,1452,1212,1522,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
61719130,61719130,41,0,0,0,1497,1439,1205,1574,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
62226364,62226364,41,0,0,0,1528,1444,1190,1553,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
62714778,62714778,41,0,0,0,1495,1428,1215,1548,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
63208714,63208714,41,0,0,0,1468,1427,1203,1548,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
63723697,63723697,41,0,0,0,1437,1458,1200,1552,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
64221620,64221620,41,0,0,0,1430,1465,1182,1549,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
64728122,64728122,41,0,0,0,1380,1496,1204,1552,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
65210054,65210054,41,0,0,0,1497,1463,1184,1560,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
65711079,65711079,41,0,0,0,1465,1496,1189,1589,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
66216980,66216980,41,0,0,0,1458,1497,1196,1612,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
66714223,66714223,41,0,0,0,1481,1496,1204,1614,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
67215359,67215359,41,0,0,0,1494,1495,1185,1624,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
67708324,67708324,41,0,0,0,1545,1497,1203,1620,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
68225253,68225253,41,0,0,0,1557,1503,1203,1624,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
68708022,68708022,41,0,0,0,1568,1518,1204,1621,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
69711736,69711736,41,0,0,0,1521,1497,1198,1571,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
70223412,70223412,41,0,0,0,1605,1494,1183,1558,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
70721336,70721336,41,0,0,0,1603,1447,1189,1566,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
71221288,71221288,41,0,0,0,1608,1440,1218,1563,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
71713415,71713415,41,0,0,0,1495,1410,1225,1500,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
72209401,72209401,41,0,0,0,1495,1373,1188,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
72727022,72727022,41,0,0,0,1533,1378,1178,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
73224669,73224669,41,0,0,0,1574,1342,1195,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
73721964,73721964,41,0,0,0,1584,1336,1212,1500,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
74209665,74209665,41,0,0,0,1532,1358,1182,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
74713560,74713560,41,0,0,0,1458,1412,1178,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
75228056,75228056,41,0,0,0,1551,1378,1203,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
75730147,75730147,41,0,0,0,1494,1400,1200,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
76208174,76208174,41,0,0,0,1450,1476,1178,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
76723729,76723729,41,0,0,0,1499,1438,1232,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
77216427,77216427,41,0,0,0,1503,1432,1202,1497,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
77717544,77717544,41,0,0,0,1496,1463,1187,1497,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
78219800,78219800,41,0,0,0,1517,1448,1206,1497,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
78723850,78723850,41,0,0,0,1519,1451,1206,1497,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
79709130,79709130,41,0,0,0,1537,1425,1204,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
80222683,80222683,41,0,0,0,1497,1425,1203,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
80727850,80727850,41,0,0,0,1508,1433,1193,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
81223340,81223340,41,0,0,0,1501,1426,1217,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
81725280,81725280,41,0,0,0,1480,1437,1178,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
82220092,82220092,41,0,0,0,1487,1423,1196,1473,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
82714414,82714414,41,0,0,0,1441,1435,1211,1470,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
83214033,83214033,41,0,0,0,1440,1428,1207,1463,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
83713282,83713282,41,0,0,0,1457,1445,1202,1465,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
84212329,84212329,41,0,0,0,1496,1428,1198,1472,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
84711071,84711071,41,0,0,0,1480,1425,1204,1477,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
