timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
67081580,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
67589899,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68091221,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68595195,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
69096486,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
69596696,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70104960,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70612034,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
71114530,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
71625540,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
72134657,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
72641549,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
73143614,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
73644641,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
74154521,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
74663693,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75171662,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75679518,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
76188325,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
76694480,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
77203494,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
77705751,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
