timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
31781593,31780797,4325386,0.0009449157,0.0020001607,-0.010853718,0.34906584,1.8181177e-08,1.8161774e-08,3.920186e-08,4259850,-0.10596621,-0.010528841,0.045097876,0.4,0.00022093355,0.00022118226,5.0186254e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
31989784,31988348,4325386,0.0009370396,0.0019980655,-0.010784865,0.34906584,1.7979987e-08,1.7958934e-08,3.897486e-08,4259850,-0.10639591,-0.008876219,0.044652767,0.4,0.00021657438,0.0002168521,4.987336e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32197794,32195504,4325386,0.0009326866,0.0020034167,-0.010759846,0.34906584,1.7860208e-08,1.783743e-08,3.8905632e-08,4259850,-0.10713047,-0.007240528,0.04437807,0.4,0.00021323843,0.0002135463,4.976318e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32412001,32407246,4325386,0.00093446183,0.0020218561,-0.010809459,0.34906584,1.7873136e-08,1.7848485e-08,3.9111086e-08,4259850,-0.10858621,-0.0055880905,0.044286378,0.4,0.0002114427,0.00021178297,5.0001086e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32610541,32610026,4325386,0.0009325381,0.0020342385,-0.010823482,0.34906584,1.782821e-08,1.7802256e-08,3.9181757e-08,4259850,-0.109399624,-0.0038786528,0.044282977,0.4,0.0002089978,0.0002093605,5.0067856e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32815105,32812828,4325386,0.0009316311,0.0020490505,-0.010853989,0.34906584,1.7815829e-08,1.7788079e-08,3.9314685e-08,4259850,-0.11035056,-0.0021215607,0.044244066,0.4,0.00020690518,0.0002073001,5.0212952e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33020806,33020139,4325386,0.000928009,0.0020579742,-0.010857266,0.34906584,1.776142e-08,1.7731983e-08,3.9349526e-08,4259850,-0.111000806,-0.00032834598,0.043992236,0.4,0.00020434456,0.00020477091,5.0233416e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33057662,33056189,4325386,0.000919345,0.0020376323,-0.010740459,0.34906584,1.7592505e-08,1.7562874e-08,3.893911e-08,4259850,-0.109963804,-0.00029275886,0.043485634,0.4,0.00020234569,0.0002027777,4.9744517e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33183051,33182692,4325386,0.0009278857,0.0020553684,-0.010812593,0.34906584,1.7759273e-08,1.772839e-08,3.9246224e-08,4259850,-0.110938855,-0.00022101103,0.043801915,0.4,0.00020409377,0.00020454948,5.0179374e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33228186,33227572,4325386,0.00092717865,0.0020732125,-0.010846773,0.34906584,1.77556e-08,1.7724442e-08,3.9398095e-08,4259850,-0.11167757,0.0016694816,0.043978315,0.4,0.0002023257,0.0002027843,5.0383933e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33332017,33331150,4325386,0.0009190329,0.0020553565,-0.010741567,0.34906584,1.7607396e-08,1.7575534e-08,3.9034347e-08,4259850,-0.1105967,0.0016888294,0.043683875,0.4,0.00020050298,0.00020097775,4.9935134e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33439978,33439265,4325386,0.0009113834,0.0020582508,-0.010703929,0.34906584,1.7490782e-08,1.7458454e-08,3.8919186e-08,4259850,-0.11055888,0.0035943373,0.043456245,0.4,0.00019737612,0.00019785963,4.979504e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33642806,33642060,4325386,0.0009080476,0.0020719974,-0.010724096,0.34906584,1.7478571e-08,1.7444762e-08,3.9014527e-08,4259850,-0.1110351,0.005535664,0.04347455,0.4,0.00019532577,0.00019584011,4.9923788e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33845950,33844861,4325386,0.0009006316,0.0020769574,-0.010699411,0.34906584,1.739714e-08,1.7362561e-08,3.8958756e-08,4259850,-0.11102766,0.0074738967,0.043298762,0.4,0.00019250503,0.0001930373,4.985256e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
34032800,34029636,4325386,0.0009087405,0.0020942856,-0.010783656,0.34906584,1.7563954e-08,1.7527277e-08,3.929371e-08,4259850,-0.112037614,0.0075374693,0.04357937,0.4,0.00019411024,0.00019468865,5.0279027e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
