timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
77727554,77727447,4259850,4325386,1.174642e-05,0.00029215397,5.2450094e-05,-0.0010767743,0.00018788104,-0.03977092,4523,4273,0,2
78228045,78227904,4259850,4325386,-0.00038130445,-0.00047297194,-9.013171e-05,-0.0029561697,-0.00014371473,-0.0418581,4718,4069,0,2
78728130,78728001,4259850,4325386,0.00021676482,0.00016552591,4.865947e-05,-0.0015934305,0.0012554791,-0.04297641,4552,4275,0,2
79724099,79723974,4259850,4325386,-0.00019768965,-0.0001555976,-8.189596e-05,-0.0015232015,0.00019989038,-0.041376267,4461,4273,0,2
80724600,80724500,4259850,4325386,5.25089e-05,-1.2630996e-05,-2.2520313e-05,-0.0034437003,0.0019897455,-0.030494926,4251,2850,0,2
81729672,81729534,4259850,4325386,7.65586e-05,1.6628746e-05,-9.564731e-06,-0.0016439494,0.002012997,-0.038663264,4462,4273,0,2
82229952,82229798,4259850,4325386,0.00023370727,-6.6910885e-05,-0.00022857146,-0.0012613682,0.0013097874,-0.04337347,4426,4275,0,2
82725674,82725554,4259850,4325386,2.6352604e-05,0.0003726378,-0.0005920405,-0.000186783,-0.0006626336,-0.03967459,4506,4276,0,2
83230442,83230325,4259850,4325386,-0.000112928545,6.523355e-05,-0.00056842755,-0.0011840279,0.00020425166,-0.044348225,4506,4233,0,2
83726229,83726083,4259850,4325386,-5.351821e-05,0.00018508034,-0.0009049054,-0.0026427535,0.0026434078,-0.045365028,4287,4287,0,2
84726723,84726613,4259850,4325386,-8.496926e-06,-4.835646e-05,-0.0002838029,-0.00090325694,-0.00023240721,-0.042971976,4460,4248,0,2
85227067,85226935,4259850,4325386,0.0005150704,0.00023053338,-0.00015021475,-2.9978886e-05,-0.00028685766,-0.04246273,4565,4397,0,2
85728132,85727395,4259850,4325386,-0.00016508352,-0.00030586804,-0.0002647958,-0.0034266687,0.0018280332,-0.057916887,4758,5915,0,2
86227614,86227410,4259850,4325386,0.00014485522,2.387885e-05,2.8943484e-06,-0.0018452551,0.00032706343,-0.041017048,4509,4432,0,2
86727826,86727719,4259850,4325386,-4.273455e-06,2.2873772e-05,-1.1455446e-05,-0.002654496,0.000784294,-0.04310315,4394,4276,0,2
87728310,87728204,4259850,4325386,0.00015952726,4.7983053e-06,-0.0004184217,-0.0025789654,0.0010177074,-0.042432453,4507,4274,0,2
88229306,88228487,4259850,4325386,0.0001160754,-8.6406035e-05,-0.00048474726,-0.0016616018,0.0016586841,-0.039848533,4524,4273,0,2
88729057,88728949,4259850,4325386,-3.5082045e-05,-5.270127e-05,-0.0005275652,-0.0006467296,0.0010826795,-0.03642591,4720,4244,0,2
89729375,89729272,4259850,4325386,0.0001346729,3.523965e-05,-0.00018687214,-0.0010493296,-0.000930896,-0.04204887,4355,4276,0,2
90725436,90725324,4259850,4325386,5.7522902e-05,0.00032904046,-0.0008339767,-0.0020383082,-6.6703404e-05,-0.052078094,4478,5663,0,2
91725934,91725828,4259850,4325386,0.0006085788,3.6751575e-05,-0.00095690077,-0.0012894279,0.0005617673,-0.042940233,4507,4274,0,2
92226245,92226140,4259850,4325386,-0.00032378818,-0.0001342385,-0.0011432621,-0.0010814044,0.00016433184,-0.042462397,4551,4272,0,2
92726833,92726461,4259850,4325386,0.00019745255,0.00024855626,-0.0013281422,-0.0016674404,0.0004485964,-0.037538223,4557,4064,0,2
93226750,93226630,4259850,4325386,-1.6374715e-06,2.7946953e-05,-0.0014956279,-0.0004268375,0.0008806709,-0.03768926,4507,4288,0,2
93732512,93731409,4259850,4325386,-0.00013521707,-0.00012051207,-0.0015930869,-0.0013313082,-0.0010253456,-0.053209674,4511,5699,0,2
94231865,94231719,4259850,4325386,-0.00039801723,0.00013301501,-0.0015643974,-0.00090802193,-2.9325158e-05,-0.041677583,4553,4276,0,2
94727583,94727479,4259850,4325386,-0.00044714246,0.00070232636,-0.0016766943,-0.0010516577,0.0024175602,-0.041300513,4552,4274,0,2
95728156,95728050,4259850,4325386,-2.0473422e-05,0.00034805472,-0.0012025748,-0.0026629441,0.0014890776,-0.05102838,4586,4273,0,2
96228771,96228241,4259850,4325386,0.00041960378,0.00021265692,0.0003875645,0.0004909277,0.0014895615,-0.040878158,4506,4041,0,2
96728610,96728508,4259850,4325386,-0.00032307595,6.752537e-05,0.00055851,-0.00042695226,9.2661125e-05,-0.043169007,4508,4428,0,2
97724723,97724585,4259850,4325386,8.2945226e-05,0.00035826102,-0.0010799561,0.00011747151,0.001273553,-0.037524194,4552,4273,0,2
98224914,98224810,4259850,4325386,-4.6721965e-05,-0.00077006314,-0.0007572885,0.00047211483,0.0005380175,-0.04624111,4370,4478,0,2
