timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_count_supported,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
56022763,1200.0,0.42246556,510.98062,0.0,992,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56774836,1200.0,0.42246556,433.566,0.0,1006,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57534742,1200.0,0.42246556,603.39655,0.0,1017,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59045072,1200.0,0.42246556,567.2783,0.0,1042,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59792704,1200.0,0.42246556,626.98785,0.0,1052,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60551539,1200.0,0.42246556,467.3868,0.0,1060,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62063721,1200.0,0.42246556,618.6623,0.0,1089,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62815074,1200.0,0.42246556,477.52008,0.0,1097,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63563196,1200.0,0.42246556,561.7004,0.0,1107,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65080862,1200.0,0.42246556,603.32184,0.0,1132,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65835664,1200.0,0.42246556,385.23892,0.0,1140,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66593019,1200.0,0.42246556,671.3488,0.0,1154,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68099564,1200.0,0.42246556,447.60712,0.0,1176,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68861662,1200.0,0.42246556,679.5143,0.0,1190,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69613115,1200.0,0.42246556,510.91052,0.0,1198,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71124731,1200.0,0.42246556,433.50885,0.0,1225,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71883322,1200.0,0.42246556,611.57654,0.0,1233,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72633677,1200.0,0.42246556,525.898,0.0,1245,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74147652,1200.0,0.42246556,584.91986,0.0,1269,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74901541,1200.0,0.42246556,531.35864,0.0,1277,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75662626,1200.0,0.42246556,433.13376,0.0,1292,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77174820,1200.0,0.42246556,630.7385,0.0,1312,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77925666,1200.0,0.42246556,535.46454,0.0,1327,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80209570,1200.0,0.42246556,433.5664,0.0,1361,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80959687,1200.0,0.42246556,622.1336,0.0,1371,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81721571,1200.0,0.42246556,471.0579,0.0,1382,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82481570,1200.0,0.42246556,558.2119,0.0,1392,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84003666,1200.0,0.42246556,681.5468,0.0,1417,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84764683,1200.0,0.42246556,400.6134,0.0,1426,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85524752,1200.0,0.42246556,667.3173,0.0,1440,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87807541,1200.0,0.42246556,558.103,0.0,1476,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88559540,1200.0,0.42246556,509.0772,0.0,1485,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90072541,1200.0,0.42246556,432.28598,0.0,1510,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90825761,1200.0,0.42246556,602.2138,0.0,1518,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91585937,1200.0,0.42246556,590.40955,0.0,1531,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93107603,1200.0,0.42246556,626.2963,0.0,1555,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
