timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
69096484,1,0,1,0,0,1,1,0,0,0,0,0,0,0
69596694,1,0,1,0,0,1,1,0,0,0,0,0,0,0
70104958,1,0,1,0,0,1,1,0,0,0,0,0,0,0
70612032,1,0,1,0,0,1,1,0,0,0,0,0,0,0
71114527,1,0,1,0,0,1,1,0,0,0,0,0,0,0
71625538,1,0,1,0,0,1,1,0,0,0,0,0,0,0
72134655,1,0,1,0,0,1,1,0,0,0,0,0,0,0
72641547,1,0,1,0,0,1,1,0,0,0,0,0,0,0
73143611,1,0,1,0,0,1,1,0,0,0,0,0,0,0
73644639,1,0,1,0,0,1,1,0,0,0,0,0,0,0
74154519,1,0,1,0,0,1,1,0,0,0,0,0,0,0
74663691,1,0,1,0,0,1,1,0,0,0,0,0,0,0
75171660,1,0,1,0,0,1,1,0,0,0,0,0,0,0
75679517,1,0,1,0,0,1,1,0,0,0,0,0,0,0
76188323,1,0,1,0,0,1,1,0,0,0,0,0,0,0
76694478,1,0,1,0,0,1,1,0,0,0,0,0,0,0
77203492,1,0,1,0,0,1,1,0,0,0,0,0,0,0
77705749,1,0,1,0,0,1,1,0,0,0,0,0,0,0
78212476,1,0,1,0,0,1,1,0,0,0,0,0,0,0
78719936,1,0,1,0,0,1,1,0,0,0,0,0,0,0
79735668,1,0,1,0,0,1,1,0,0,0,0,0,0,0
80748511,1,0,1,0,0,1,1,0,0,0,0,0,0,0
81255484,1,0,1,0,0,1,1,0,0,0,0,0,0,0
81762488,1,0,1,0,0,1,1,0,0,0,0,0,0,0
82269480,1,0,1,0,0,1,1,0,0,0,0,0,0,0
82776475,1,0,1,0,0,1,1,0,0,0,0,0,0,0
83285481,1,0,1,0,0,1,1,0,0,0,0,0,0,0
83793478,1,0,1,0,0,1,1,0,0,0,0,0,0,0
84300666,1,0,1,0,0,1,1,0,0,0,0,0,0,0
84808480,1,0,1,0,0,1,1,0,0,0,0,0,0,0
85315685,1,0,1,0,0,1,1,0,0,0,0,0,0,0
85822802,1,0,1,0,0,1,1,0,0,0,0,0,0,0
86330629,1,0,1,0,0,1,1,0,0,0,0,0,0,0
86838477,1,0,1,0,0,1,1,0,0,0,0,0,0,0
88364000,1,0,1,0,0,1,1,0,0,0,0,0,0,0
88874014,1,0,1,0,0,1,1,0,0,0,0,0,0,0
89381506,1,0,1,0,0,1,1,0,0,0,0,0,0,0
89891803,1,0,1,0,0,1,1,0,0,0,0,0,0,0
90402754,1,0,1,0,0,1,1,0,0,0,0,0,0,0
90912642,1,0,1,0,0,1,1,0,0,0,0,0,0,0
91421482,1,0,1,0,0,1,1,0,0,0,0,0,0,0
91929481,1,0,1,0,0,1,1,0,0,0,0,0,0,0
92432376,1,0,1,0,0,1,1,0,0,0,0,0,0,0
92939022,1,0,1,0,0,1,1,0,0,0,0,0,0,0
93451463,1,0,1,0,0,1,1,0,0,0,0,0,0,0
93952641,1,0,1,0,0,1,1,0,0,0,0,0,0,0
94455687,1,0,1,0,0,1,1,0,0,0,0,0,0,0
94958745,1,0,1,0,0,1,1,0,0,0,0,0,0,0
95466514,1,0,1,0,0,1,1,0,0,0,0,0,0,0
95974160,1,0,1,0,0,1,1,0,0,0,0,0,0,0
96475512,1,0,1,0,0,1,1,0,0,0,0,0,0,0
96978484,1,0,1,0,0,1,1,0,0,0,0,0,0,0
97494917,1,0,1,0,0,1,1,0,0,0,0,0,0,0
98003698,1,0,1,0,0,1,1,0,0,0,0,0,0,0
98512890,1,0,1,0,0,1,1,0,0,0,0,0,0,0
