timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,connected,source,priority,id,is_powering_off,warning
343930489,21.669624,21.976057,23.6744,22.905111,0.0,840.7049,1.0,1.0,nan,4,5.4940143,5.4940143,5.4940143,5.4940143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
344230598,22.45708,22.024996,20.8909,21.840246,0.0,842.4388,1.0,1.0,nan,4,5.506249,5.506249,5.506249,5.506249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
344830489,21.582129,21.99991,23.322802,22.555122,0.0,846.16833,1.0,1.0,nan,4,5.4999776,5.4999776,5.4999776,5.4999776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
345130597,22.092518,22.01416,20.9202,22.852541,0.0,848.12384,1.0,1.0,nan,4,5.50354,5.50354,5.50354,5.50354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
345430567,22.1071,22.031376,22.3852,22.041988,0.0,849.87427,1.0,1.0,nan,4,5.507844,5.507844,5.507844,5.507844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
345730488,22.252924,22.048647,19.543098,21.444899,0.0,851.6142,1.0,1.0,nan,4,5.5121617,5.5121617,5.5121617,5.5121617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
346031396,22.369585,22.068874,22.561,21.243446,0.0,853.34503,1.0,1.0,nan,4,5.5172186,5.5172186,5.5172186,5.5172186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
346330617,21.932108,22.056381,23.0884,21.561829,0.0,855.1769,1.0,1.0,nan,4,5.5140953,5.5140953,5.5140953,5.5140953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
346630487,21.902945,22.022598,26.4872,23.299051,0.0,857.28143,1.0,1.0,nan,4,5.5056496,5.5056496,5.5056496,5.5056496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
346930489,21.655043,22.027927,20.7737,23.12123,0.0,859.2149,1.0,1.0,nan,4,5.506982,5.506982,5.506982,5.506982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
