timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
335036147,335036023,0.9774836,0.000954596,-0.018727263,-0.21017718,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
335536521,335536351,0.97738504,0.0035118854,-0.019869966,-0.21050276,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
336036961,336036826,0.97929364,-0.007946168,-0.012006057,-0.2019324,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
336537173,336537009,0.98032063,-0.0018891128,-0.020779938,-0.19630617,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
337033856,337032960,0.98014337,-0.010822851,-0.017253028,-0.19724138,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
337537805,337537667,0.9804821,-0.0061638444,-0.02158703,-0.19532225,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
338038144,338037997,0.98094064,-0.0070912396,-0.024351707,-0.19264543,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
338538535,338538394,0.98123604,-0.0025864847,-0.01579003,-0.19214575,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
339038820,339038672,0.98073703,-0.008561667,-0.018301759,-0.19428527,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
339539159,339539026,0.9804393,-0.010852266,-0.017133616,-0.19577448,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
340035368,340035097,0.9798766,-0.00957759,-0.03114141,-0.19692735,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
340535260,340535131,0.979691,-0.01205454,-0.033053894,-0.19740233,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
341035592,341035459,0.98055065,-0.010523631,-0.036567803,-0.19254199,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
341535918,341535787,0.980996,-0.007927835,-0.018011816,-0.19302723,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
342036462,342036116,0.97992325,-0.008206084,-0.024446035,-0.19770046,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
342536816,342536670,0.9796675,-0.008543163,-0.02420576,-0.19897914,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
343036905,343036773,0.97980624,-0.008575283,-0.028607171,-0.19770664,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
343532950,343532776,0.9796729,-0.007864349,-0.02658083,-0.19867717,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
